CHG_PROJECT,CHG_COMPONENT,CHG_VERSION,CHG_HW,CHG_OS,CHG_PRIORITY,CHG_SEVERITY,CHG_ASSIGNEE,BUG_ID,BUG_REPORTER,PROJECT,COMPONENT,VERSION,HW,OS,PRIORITY,SEVERITY,ASSIGNEE
0,0,0,0,0,0,0,0,82400,svenboden,birt,data,uns,pc,windowsxp,P3,trivial,birtdatainbox
0,1,0,0,0,0,0,0,83104,thierrylach,birt,data,uns,all,all,P3,trivial,birtdatainbox
0,0,0,0,0,0,0,0,84818,thierrylach,birt,chart,uns,all,all,P3,normal,birtchartinbox
0,0,0,0,0,0,0,0,84890,thierrylach,birt,report,uns,all,all,P3,major,birtreportinbox
0,1,1,0,0,0,0,1,86240,thomasschindl,birt,report,uns,pc,all,P3,normal,birtreportinbox
0,0,0,0,0,0,0,0,86242,thomasschindl,birt,data,uns,pc,all,P3,minor,birtdatainbox
0,0,0,0,0,0,0,1,86314,marcbatchelor,birt,data,uns,pc,windowsxp,P3,normal,birtdatainbox
0,0,0,0,0,0,0,0,86867,johnmlema,birt,chart,uns,pc,windowsxp,P3,normal,birtchartinbox
0,0,0,0,0,0,0,1,86994,danielmccarthy,birt,report,uns,pc,linux,P3,blocker,birtreportinbox
0,0,0,0,0,0,0,0,87022,scottrosenbaum,birt,report,uns,all,windows2000,P3,minor,birtreportinbox
0,0,0,0,0,0,0,0,87048,mikethoma,birt,report,uns,pc,windowsxp,P3,normal,birtreportinbox
0,0,0,0,0,0,0,0,87343,scottrosenbaum,birt,report,uns,pc,windows2000,P3,normal,birtreportinbox
0,0,0,0,0,0,0,0,87437,thierrylach,birt,report,uns,all,all,P3,minor,birtreportinbox
0,0,0,0,0,0,0,0,87439,thierrylach,birt,report,uns,all,all,P3,minor,birtreportinbox
0,0,0,0,0,0,0,0,87441,thierrylach,birt,report,uns,all,all,P3,minor,birtreportinbox
0,0,0,0,0,0,0,0,87611,scottrosenbaum,birt,chart,uns,pc,windows2000,P3,normal,birtchartinbox
0,0,0,0,0,0,0,0,87734,scottrosenbaum,birt,chart,uns,pc,windows2000,P3,enhancement,birtchartinbox
0,0,0,0,0,0,0,0,87735,scottrosenbaum,birt,report,uns,pc,windows2000,P3,normal,birtreportinbox
0,0,0,0,0,0,1,1,87803,edburnette,birt,data,uns,pc,windowsxp,P3,major,birtdatainbox
0,0,0,0,0,0,0,1,87804,edburnette,birt,report,uns,pc,windowsxp,P3,normal,birtreportinbox
0,1,0,0,0,0,0,1,87814,scottrosenbaum,birt,chart,uns,pc,windows2000,P3,normal,birtchartinbox
0,0,0,0,0,0,0,0,87823,scottrosenbaum,birt,chart,uns,all,all,P3,enhancement,birtchartinbox
0,0,0,0,0,0,0,1,87830,edburnette,birt,report,uns,pc,windowsxp,P3,normal,birtreportinbox
0,0,0,0,0,0,0,0,87836,scottrosenbaum,birt,report,uns,pc,windows2000,P3,normal,birtreportinbox
0,1,0,0,0,0,0,1,88482,thierrylach,birt,report,uns,all,all,P3,normal,birtreportinbox
0,0,0,0,0,0,0,0,88537,scottrosenbaum,birt,data,uns,pc,windows2000,P3,normal,birtdatainbox
0,0,0,0,0,0,0,1,88538,scottrosenbaum,birt,data,uns,pc,windows2000,P3,normal,birtdatainbox
0,0,0,0,0,0,0,0,88539,scottrosenbaum,birt,chart,uns,pc,windows2000,P3,normal,birtchartinbox
0,0,0,0,0,0,0,0,88541,scottrosenbaum,birt,data,uns,pc,windows2000,P3,normal,birtdatainbox
0,0,0,0,0,0,0,0,88542,scottrosenbaum,birt,chart,uns,pc,windows2000,P3,normal,birtchartinbox
0,0,0,0,0,0,0,0,88543,scottrosenbaum,birt,report,uns,pc,windows2000,P3,normal,birtreportinbox
0,1,0,0,0,0,1,1,88545,scottrosenbaum,birt,report,uns,pc,windows2000,P3,normal,birtreportinbox
0,0,0,0,0,0,0,1,88935,svenboden,birt,report,uns,pc,windowsxp,P3,normal,birtreportinbox
0,0,0,0,0,0,0,0,89160,marcnunes,birt,report,uns,pc,windowsxp,P3,blocker,birtreportinbox
0,0,0,0,0,0,0,0,89278,marcbatchelor,birt,report,uns,pc,windowsxp,P3,normal,birtreportinbox
0,0,0,0,0,0,0,1,89545,mauromarson,birt,data,uns,pc,windowsxp,P3,normal,birtdatainbox
0,0,0,0,0,0,0,0,89583,thierrylach,birt,data,uns,all,all,P3,normal,birtdatainbox
0,0,0,0,0,0,0,0,89587,thierrylach,birt,report,uns,all,all,P3,normal,birtreportinbox
0,0,0,0,0,0,0,1,89706,thierrylach,birt,report,uns,all,all,P3,normal,birtreportinbox
0,0,0,0,0,0,0,0,89829,thierrylach,birt,report,uns,all,all,P3,enhancement,birtreportinbox
0,0,0,0,0,0,1,1,90305,aleksanderbandelj,birt,data,uns,pc,linux,P3,blocker,birtdatainbox
0,0,0,0,0,0,0,0,90950,sissizhu,birt,data,uns,pc,windowsxp,P3,major,birtdatainbox
0,1,0,0,0,1,0,1,91079,sissizhu,birt,report,uns,pc,windowsxp,p3,normal,birtreportinbox
0,0,0,0,0,0,0,0,91080,sissizhu,birt,report,uns,pc,windowsxp,p3,normal,birtreportinbox
0,0,0,0,0,0,0,0,91232,marcbatchelor,birt,report,uns,pc,windowsxp,P3,normal,birtreportinbox
0,0,0,0,0,0,0,0,91321,marcbatchelor,birt,data,uns,pc,windowsxp,P3,major,birtdatainbox
0,0,0,0,0,0,0,1,91425,andyhoffman,birt,report,uns,pc,windows2000,P3,normal,birtreportinbox
0,0,0,0,0,0,0,0,91430,paolopolce,birt,report,uns,pc,windows2000,P3,normal,birtreportinbox
0,0,0,0,0,0,0,1,91648,marcbatchelor,birt,report,uns,pc,windowsxp,P3,normal,birtreportinbox
0,1,0,0,0,0,0,1,91649,marcbatchelor,birt,report,uns,pc,windowsxp,P3,normal,birtreportinbox
0,0,0,0,0,0,0,0,91653,emirrodriguez,birt,report,uns,pc,windows2000,P3,normal,birtreportinbox
0,0,0,0,0,0,0,0,91673,marcbatchelor,birt,report,uns,pc,windowsxp,P3,major,birtreportinbox
0,0,0,0,0,0,0,0,91748,dmitry,birt,report,uns,pc,windows2000,P3,normal,birtreportinbox
0,0,0,0,0,0,0,0,91827,marcbatchelor,birt,report,uns,pc,windowsxp,P3,normal,birtreportinbox
0,0,0,0,0,0,0,1,91970,marcbatchelor,birt,report,uns,pc,windowsxp,P3,normal,birtreportinbox
0,0,0,0,0,0,0,1,92091,marcbatchelor,birt,report,uns,pc,windowsxp,P3,normal,birtreportinbox
0,0,0,0,0,0,0,0,92124,marcbatchelor,birt,data,uns,pc,windowsxp,P3,major,birtdatainbox
0,0,0,0,0,0,0,0,92126,marcbatchelor,birt,report,uns,pc,windowsxp,P3,major,birtreportinbox
0,1,0,0,0,0,0,1,92908,eamonnmccloskey,birt,report,uns,pc,windows2000,P3,normal,birtreportinbox
0,1,0,0,0,0,0,1,92909,eamonnmccloskey,birt,report,uns,pc,windows2000,P3,normal,birtreportinbox
0,0,0,0,0,0,0,0,92921,eamonnmccloskey,birt,report,uns,pc,windows2000,P3,enhancement,birtreportinbox
0,0,0,0,0,0,0,0,92941,davidtrainor,birt,report,uns,pc,windowsxp,P3,normal,birtreportinbox
0,0,0,0,0,0,0,1,93220,bobbytharrington,birt,data,uns,pc,all,P3,critical,birtdatainbox
0,1,0,0,0,0,0,1,93780,ross,birt,data,uns,pc,windowsxp,P3,normal,birtdatainbox
0,0,0,0,0,0,0,0,93996,mikeboyersmith,birt,report,uns,pc,windowsxp,P3,major,birtreportinbox
0,0,0,0,0,0,0,1,94138,lfn,birt,chart,uns,pc,windowsxp,P3,normal,birtchartinbox
0,0,0,0,0,0,0,0,94296,hankbirkdale,birt,chart,uns,pc,windowsxp,P3,normal,birtchartinbox
0,0,0,0,0,0,0,0,94417,mikeboyersmith,birt,report,uns,pc,windowsxp,P3,normal,birtreportinbox
0,0,0,0,0,0,1,1,94526,scottrosenbaum,birt,report,uns,pc,windows2000,P3,normal,birtreportinbox
0,0,0,0,0,0,0,0,94528,scottrosenbaum,birt,data,uns,pc,windows2000,P3,normal,birtdatainbox
0,0,0,0,0,0,1,1,94534,scottrosenbaum,birt,data,uns,pc,windows2000,P3,normal,birtdatainbox
0,0,0,0,0,0,0,0,94538,scottrosenbaum,birt,data,uns,pc,windows2000,P3,enhancement,birtdatainbox
0,1,0,0,0,0,0,1,94553,scottrosenbaum,birt,report,uns,pc,windows2000,P3,enhancement,birtreportinbox
0,0,0,0,0,0,0,1,94565,scottrosenbaum,birt,report,uns,pc,windows2000,P3,enhancement,birtreportinbox
0,0,0,0,0,0,0,1,94884,scottrosenbaum,birt,report,uns,pc,windows2000,P3,enhancement,birtreportinbox
0,0,0,0,0,0,0,0,94962,sheldonleeloy,birt,chart,uns,pc,windowsxp,P3,normal,birtchartinbox
0,0,0,0,0,0,0,0,94964,lfn,birt,chart,uns,pc,windowsxp,P3,major,birtchartinbox
0,0,0,0,0,0,0,1,94976,berndhofner,birt,report,1,all,all,P3,normal,birtreportinbox
0,0,0,0,0,0,0,0,95593,nicktrown,birt,report,1,pc,windowsxp,P3,normal,birtreportinbox
0,1,0,0,0,0,0,1,95793,mikeboyersmith,birt,report,uns,pc,windowsxp,P3,enhancement,birtreportinbox
0,0,0,0,0,0,0,0,95859,scottrosenbaum,birt,report,uns,pc,windows2000,P3,normal,birtreportinbox
0,1,0,0,0,0,0,1,95887,mohsensaboorian,birt,report,1,pc,windowsxp,P3,normal,birtreportinbox
0,0,0,0,0,0,0,0,95948,scottrosenbaum,birt,data,uns,pc,windows2000,P3,normal,birtdatainbox
0,0,0,0,0,0,0,1,95983,scottrosenbaum,birt,report,uns,pc,windows2000,P3,normal,birtreportinbox
0,0,0,0,0,0,0,0,95990,scottrosenbaum,birt,report,uns,pc,windows2000,P3,normal,birtreportinbox
0,0,0,0,0,0,0,1,96023,scottrosenbaum,birt,report,uns,pc,windows2000,P3,normal,birtreportinbox
0,0,0,0,0,0,0,1,96024,scottrosenbaum,birt,report,uns,pc,windows2000,p3,normal,birtreportinbox
0,0,0,0,0,0,0,0,96025,scottrosenbaum,birt,report,uns,pc,windows2000,P3,normal,birtreportinbox
0,0,0,0,0,0,0,0,96054,wins,birt,report,1,pc,windowsxp,P3,normal,birtreportinbox
0,0,0,0,0,0,0,0,96099,martinebner,birt,report,uns,pc,linux,P3,blocker,birtreportinbox
0,0,0,0,0,0,0,1,96292,michaelsueess,birt,report,uns,pc,windows2000,P3,normal,birtreportinbox
0,0,0,0,0,0,0,0,96358,thierrylach,birt,report,uns,all,all,P3,normal,birtreportinbox
0,0,0,0,0,0,0,1,96359,thierrylach,birt,chart,uns,all,all,P3,normal,birtchartinbox
0,0,0,0,0,0,0,0,96360,thierrylach,birt,chart,uns,all,all,P3,normal,birtchartinbox
0,0,0,0,0,0,0,0,96361,thierrylach,birt,chart,uns,all,all,P3,normal,birtchartinbox
0,0,0,0,0,0,0,0,96362,thierrylach,birt,chart,uns,all,all,P3,normal,birtchartinbox
0,0,0,0,0,0,0,0,96364,thierrylach,birt,chart,uns,all,all,P3,normal,birtchartinbox
0,0,0,0,0,0,0,0,96367,thierrylach,birt,report,uns,all,all,P3,normal,birtreportinbox
0,0,0,0,0,0,0,0,96368,thierrylach,birt,report,uns,all,all,P3,normal,birtreportinbox
0,0,0,0,0,0,0,0,96369,thierrylach,birt,report,uns,all,all,P3,normal,birtreportinbox
0,0,0,0,0,0,0,0,96555,paulclenahan,birt,report,1,pc,windowsxp,P3,normal,birtreportinbox
0,0,0,0,0,0,0,0,97160,takaya,birt,data,1,pc,windows2000,P3,normal,birtdatainbox
0,0,0,0,0,0,0,1,97425,kurtknippschild,birt,data,1,pc,windows2000,P3,blocker,birtdatainbox
0,1,0,0,0,0,0,1,97979,scottrosenbaum,birt,report,1,pc,windows2000,P3,normal,birtreportinbox
0,0,0,0,0,0,0,0,98257,davidtrainor,birt,chart,1,pc,windowsxp,P3,normal,birtchartinbox
0,0,0,0,0,0,0,0,98507,mohsensaboorian,birt,report,1,pc,windowsxp,P3,enhancement,birtreportinbox
0,0,0,0,0,0,0,0,98558,davidtrainor,birt,report,1,pc,windowsxp,P3,normal,birtreportinbox
0,0,0,0,0,0,0,0,98661,martinlopez,birt,report,1,pc,windowsxp,P3,enhancement,birtreportinbox
0,1,0,0,0,0,0,1,98895,abelmuiño,birt,report,1,pc,windowsxp,P3,major,birtreportinbox
0,0,0,0,0,0,0,0,99041,pratikshah,birt,report,uns,pc,windowsxp,P3,normal,birtreportinbox
0,0,0,0,0,0,0,0,99331,hesse,birt,chart,1,pc,windowsxp,P3,normal,birtchartinbox
0,0,0,0,0,0,0,0,99336,hesse,birt,reportdesigner,1,pc,windowsxp,P3,normal,birtreportdesignerinbox
0,0,0,0,0,0,0,0,99479,kurtknippschild,birt,report,1,pc,windows2000,P3,blocker,birtreportinbox
0,0,0,0,0,0,0,0,99498,lfn,birt,reportviewer,1,pc,windowsxp,P3,normal,birtreportviewerinbox
0,0,0,0,0,0,0,1,99872,lindachan,birt,data,1,pc,windows2000,P3,enhancement,gxue
0,0,0,0,0,0,0,1,100058,jingmingma,birt,report,1,pc,windowsxp,P3,major,birtreportinbox
0,0,0,0,0,0,0,0,100090,andreasschufft,birt,dataaccess,1,pc,windowsxp,P3,major,birtdataaccessinbox
0,0,0,0,0,0,0,0,100354,artolaurila,birt,reportdesigner,1,pc,windowsxp,P3,normal,birtreportdesignerinbox
0,0,0,0,0,0,0,0,100406,lfn,birt,chart,1,pc,windowsxp,P3,normal,birtchartinbox
0,0,0,0,0,0,0,0,100407,lfn,birt,chart,1,pc,windowsxp,P3,normal,birtchartinbox
0,0,0,0,0,0,0,0,100495,artolaurila,birt,reportdesigner,uns,pc,windowsxp,P3,normal,birtreportdesignerinbox
0,0,0,0,0,0,0,0,100501,hongxiawang,birt,dataaccess,1,pc,windowsxp,P3,major,birtdataaccessinbox
0,1,1,0,0,0,0,1,100524,artolaurila,birt,reportdesigner,uns,pc,windowsxp,P3,minor,birtreportdesignerinbox
0,0,0,0,0,0,0,0,100620,davecramer,birt,reportdesigner,1,macintosh,macosxcarbon(unsup.),P3,normal,birtreportdesignerinbox
0,0,0,0,0,0,0,0,100739,artolaurila,birt,reportdesigner,uns,pc,windowsxp,P3,normal,birtreportdesignerinbox
0,1,0,0,0,0,0,1,100759,hongxiawang,birt,reportdesigner,1,pc,windowsxp,P3,major,birtreportdesignerinbox
0,0,1,0,0,0,0,1,100785,hongxiawang,birt,reportdesigner,1,pc,windowsxp,P3,enhancement,birtreportdesignerinbox
0,0,0,0,0,0,0,0,100961,paulclenahan,birt,reportengine,1,all,windowsxp,P3,enhancement,birtreportengineinbox
0,0,0,0,0,0,0,1,100964,paulclenahan,birt,reportdesigner,1,pc,windowsxp,P3,enhancement,birtreportdesignerinbox
0,0,0,0,0,0,0,1,100965,paulclenahan,birt,reportdesigner,1,pc,windowsxp,P3,enhancement,birtreportdesignerinbox
