BUG_ID,STATUS,BUG_REPORTER,PROJECT,COMPONENT,VERSION,HW,OS,PRIORITY,SEVERITY,ASSIGNEE,CHG_ASSIGNEE
82400,resolved:fixed,svenboden,birt,report,uns,pc,windows xp,P3,trivial,birtdatainbox,0
83104,resolved:fixed,thierrylach,birt,report,uns,all,all,P3,trivial,birtdatainbox,0
84818,resolved:fixed,thierrylach,birt,chart,uns,all,all,P3,normal,birtchartinbox,0
84890,resolved:fixed,thierrylach,birt,report,uns,all,all,P3,major,birtreportinbox,0
86240,closed:fixed,thomasschindl,birt,build,1,pc,all,P3,normal,junzhai,1
86242,resolved:fixed,thomasschindl,birt,data,uns,pc,all,P3,minor,haijiatong,1
86314,resolved:fixed,marcbatchelor,birt,data,uns,pc,windows xp,P3,normal,aniruddhashevade,1
86867,resolved:fixed,johnm.lema,birt,report,uns,pc,windows xp,P3,normal,wangqiangsheng,1
86994,resolved:fixed,danielmccarthy,birt,report,uns,pc,linux,P3,blocker,wangqiangsheng,1
87022,closed:fixed,scottrosenbaum,birt,report,uns,all,windows 2000,P3,minor,jianzhou,1
87048,resolved:fixed,mikethoma,birt,report,uns,pc,windows xp,P3,normal,birtreportinbox,0
87343,closed:fixed,scottrosenbaum,birt,report,uns,pc,windows 2000,P3,normal,birtreportinbox,0
87437,resolved:fixed,thierrylach,birt,report,uns,all,all,P3,normal,junzhai,1
87439,resolved:fixed,thierrylach,birt,report,uns,all,all,P3,normal,junzhai,1
87441,resolved:fixed,thierrylach,birt,report,uns,all,all,P3,normal,birtreportinbox,0
87611,closed:fixed,scottrosenbaum,birt,chart,uns,pc,windows 2000,P3,normal,birtchartinbox,0
87734,closed:fixed,scottrosenbaum,birt,chart,uns,pc,windows 2000,P3,normal,birtchartinbox,0
87735,closed:fixed,scottrosenbaum,birt,report,uns,pc,windows 2000,P3,normal,birtreportinbox,0
87803,resolved:fixed,edburnette,birt,reportdesigner,uns,pc,windows xp,P3,normal,wangqiangsheng,1
87804,closed:fixed,edburnette,birt,reportdesigner,uns,pc,windows xp,P3,normal,wangqiangsheng,1
87814,closed:fixed,scottrosenbaum,birt,report,uns,pc,windows 2000,P3,normal,yaohuama,1
87823,closed:fixed,scottrosenbaum,birt,chart,uns,all,all,P3,enhancement,zhiqiangqian,1
